Australian Bureau of Statistics,,,,,,
"cat.no.1292.0.55.005 Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006 - Correspondence Tables",,,,,,
"Table 6. CORRESPONDENCES, ANZSIC 2006 - ISIC Rev. 4",,,,,,
,,,,,,
ANZSIC 2006,,,ISIC Rev. 4,,,
A,"Agriculture, Forestry and Fishing",,,,,
A,Agriculture,,,,,
A,Nursery and Floriculture Production,,,,,
R,Museum Operation,,,,,
R,8910,Museum Operation,9000p,"Creative, arts and entertainment activities",,
R,,,9102,Museums activities and operation of historical sites and buildings,,
R,Parks and Gardens Operations,,,,,
R,8921,Zoological and Botanical Gardens Operation,9103p,Botanical and zoological gardens and nature reserves activities,,
R,8922,Nature Reserves and Conservation Parks Operation,9103p,Botanical and zoological gardens and nature reserves activities,,
R,Creative and Performing Arts Activities,,,,,
R,Creative and Performing Arts Activities,,,,,
R,9001,Performing Arts Operation,9000p,"Creative, arts and entertainment activities",,
R,9002,"Creative Artists, Musicians, Writers and Performers",7420p,Photographic activities,,
R,,,9000p,"Creative, arts and entertainment activities",,
R,9003,Performing Arts Venue Operation,9000p,"Creative, arts and entertainment activities",,
R,Sports and Recreation Activities,,,,,
R,Sports and Physical Recreation Activities,,,,,
R,9111,Health and Fitness Centres and Gymnasia Operation,9311p,Operation of sports facilities,,
R,9112,Sports and Physical Recreation Clubs and Sports Professionals,9312p,Activities of sports clubs,,
R,,,9319p,Other sports activities,,
R,9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",9311p,Operation of sports facilities,,
R,9114,Sports and Physical Recreation Administrative Service,9319p,Other sports activities,,
R,Horse and Dog Racing Activities,,,,,
R,9121,Horse and Dog Racing Administration and Track Operation,9311p,Operation of sports facilities,,
R,,,9319p,Other sports activities,,
R,9129,Other Horse and Dog Racing Activities,9319p,Other sports activities,,
R,Amusement and Other Recreation Activities,,,,,
R,9131,Amusement Parks and Centres Operation,9321p,Activities of amusement parks and theme parks,,
R,,,9329p,Other amusement and recreation activities n.e.c.,,
R,9139,Amusement and Other Recreational Activities n.e.c.,9311p,Operation of sports facilities,,
R,,,9312p,Activities of sports clubs,,
R,,,9319p,Other sports activities,,
R,,,9321p,Activities of amusement parks and theme parks,,
R,,,9329p,Other amusement and recreation activities n.e.c.,,
R,Gambling Activities,,,,,
R,Gambling Activities,,,,,
R,9201,Casino Operation,9200p,Gambling and betting activities,,
R,9202,Lottery Operation,9200p,Gambling and betting activities,,
R,9209,Other Gambling Activities,9200p,Gambling and betting activities,,
R,,,,,,
S,Other Services,,,,,
S,Repair and Maintenance,,,,,
S,Automotive Repair and Maintenance,,,,,
S,9411,Automotive Electrical Services,4520p,Maintenance and repair of motor vehicles,,
S,,,4540p,"Sale, maintenance and repair of motorcycles and related parts and accessories",,
S,9412,"Automotive Body, Paint and Interior Repair",4520p,Maintenance and repair of motor vehicles,,
S,,,4540p,"Sale, maintenance and repair of motorcycles and related parts and accessories",,
S,9419,Other Automotive Repair and Maintenance,4520p,Maintenance and repair of motor vehicles,,
S,,,4540p,"Sale, maintenance and repair of motorcycles and related parts and accessories",,
S,,,5221p,Service activities incidental to land transportation,,
S,Machinery and Equipment Repair and Maintenance,,,,,
S,9421,Domestic Appliance Repair and Maintenance,9521,Repair of consumer electronics,,
S,,,9522p,Repair of household appliances and home and garden equipment,,
S,9422,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance,3312p,Repair of machinery,,
S,,,3313p,Repair of electronic and optical equipment,,
S,,,3314p,Repair of electrical equipment,,
S,,,9511,Repair of computers and peripheral equipment,,
S,,,9512,Repair of communication equipment,,
S,9429,Other Machinery and Equipment Repair and Maintenance,3311p,Repair of fabricated metal products,,
S,,,3312p,Repair of machinery,,
S,,,3314p,Repair of electrical equipment,,
S,,,3315p,"Repair of transport equipment, except motor vehicles",,
S,,,3319p,Repair of other equipment,,
S,,,4329p,Other construction installation,,
S,,,4520p,Maintenance and repair of motor vehicles,,
S,Other Repair and Maintenance,,,,,
S,9491,Clothing and Footwear Repair,9523p,Repair of footwear and leather goods,,
S,,,9529p,Repair of other personal and household goods,,
S,9499,Other Repair and Maintenance n.e.c.,3311p,Repair of fabricated metal products,,
S,,,3312p,Repair of machinery,,
S,,,3313p,Repair of electronic and optical equipment,,
S,,,3319p,Repair of other equipment,,
S,,,9522p,Repair of household appliances and home and garden equipment,,
S,,,9523p,Repair of footwear and leather goods,,
S,,,9524,Repair of furniture and home furnishings,,
S,,,9529p,Repair of other personal and household goods,,
S,Personal and Other Services,,,,,
S,Personal Care Services,,,,,
S,9511,Hairdressing and Beauty Services,9602,Hairdressing and other beauty treatment,,
S,,,9609p,Other personal service activities n.e.c.,,
S,9512,Diet and Weight Reduction Centre Operation,9609p,Other personal service activities n.e.c.,,
S,"Funeral, Crematorium and Cemetery Services",,,,,
S,9520,"Funeral, Crematorium and Cemetery Services",9603,Funeral and related activities,,
S,Other Personal Services,,,,,
S,9531,Laundry and Dry-Cleaning Services,9601,Washing and (dry-) cleaning of textile and fur products,,
S,9532,Photographic Film Processing,7420p,Photographic activities,,
S,9533,Parking Services,5221p,Service activities incidental to land transportation,,
S,,,9609p,Other personal service activities n.e.c.,,
S,9534,Brothel Keeping and Prostitution Services,9609p,Other personal service activities n.e.c.,,
S,9539,Other Personal Services n.e.c.,9609p,Other personal service activities n.e.c.,,
S,Religious Services,,,,,
S,9540,Religious Services,9491,Activities of religious organizations,,
S,"Civic, Professional and Other Interest Group Services",,,,,
S,9551,Business and Professional Association Services,9411,Activities of business and employers membership organizations,,
S,,,9412,Activities of professional membership organizations,,
S,9552,Labour Association Services,9420,Activities of trade unions,,
S,9559,Other Interest Group Services n.e.c.,9492,Activities of political organizations,,
S,,,9499,Activities of other membership organizations n.e.c.,,
S,Private Households Employing Staff and Undifferentiated Goods- and Service-Producing Activities of Households for Own Use,,,,,
S,9601,Private Households Employing Staff,9700,Activities of households as employers of domestic personnel,,
S,9602,Undifferentiated Goods-Producing Activities of Private Households for Own Use,9810,Undifferentiated goods-producing activities of private households for own use,,
S,9603,Undifferentiated Service-Producing Activities of Private Households for Own Use,9820,Undifferentiated service-producing activities of private households for own use,,
,,,,,,
"¸ Commonwealth of Australia, 2008",,,,,,
,,,,,,
